unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,index
1.61E+12,12/27/2020 0:00,BTC/USDT,26493.4,28422,25700,26281.66,148455.5862,4028928684,2438493,1230
1.61E+12,12/26/2020 0:00,BTC/USDT,24712.47,26867.03,24500,26493.39,97806.51339,2496533065,1735574,1229
1.61E+12,12/25/2020 0:00,BTC/USDT,23728.99,24789.86,23433.6,24712.47,79519.94357,1919766317,1504426,1228
1.61E+12,12/24/2020 0:00,BTC/USDT,23232.39,23794.43,22703.42,23729.2,69013.83425,1602394244,1421257,1227
1.61E+12,12/23/2020 0:00,BTC/USDT,23810.79,24100,22600,23232.76,119047.2597,2797688007,2194611,1226
1.61E+12,12/22/2020 0:00,BTC/USDT,22719.88,23837.1,22353.4,23810.79,87033.12616,2010758620,1496277,1225
1.61E+12,12/21/2020 0:00,BTC/USDT,23455.54,24102.77,21815,22719.71,88030.29724,2035446294,1593949,1224
1.61E+12,12/20/2020 0:00,BTC/USDT,23821.6,24295,23060,23455.52,76690.14569,1810862075,1743225,1223
1.61E+12,12/19/2020 0:00,BTC/USDT,23107.39,24171.47,22750,23821.61,86045.06468,2018969879,1678611,1222
1.61E+12,12/18/2020 0:00,BTC/USDT,22797.15,23285.18,22350,23107.39,79646.13432,1820875361,1613775,1221
1.61E+12,12/17/2020 0:00,BTC/USDT,21335.52,23800,21230,22797.16,184882.4767,4196645567,2795084,1220
1.61E+12,12/16/2020 0:00,BTC/USDT,19426.43,21560,19278.6,21335.52,114306.3356,2325135959,1659135,1219
1.61E+12,12/15/2020 0:00,BTC/USDT,19273.69,19570,19050,19426.43,61834.36601,1196361528,1046423,1218
1.61E+12,12/14/2020 0:00,BTC/USDT,19174.99,19349,19000,19273.14,47257.20129,906101687.7,842382,1217
1.61E+12,12/13/2020 0:00,BTC/USDT,18808.69,19411,18711.12,19174.99,56560.82174,1083520569,938022,1216
1.61E+12,12/12/2020 0:00,BTC/USDT,18036.53,18948.66,18020.7,18808.69,49519.97843,915552835.9,891810,1215
1.61E+12,12/11/2020 0:00,BTC/USDT,18254.81,18292.73,17572.33,18036.53,72610.72426,1301081647,1117810,1214
1.61E+12,12/10/2020 0:00,BTC/USDT,18541.29,18557.32,17911.12,18254.63,52890.67509,966149529,891151,1213
